name,alpha-3,FileName,URL
Dominica,DMA,DMA.png,https://github.com/dalezak/CountryMapImages/blob/master/DMA.png?raw=true
Denmark,DNK,DNK.png,https://github.com/dalezak/CountryMapImages/blob/master/DNK.png?raw=true
Dominican Republic,DOM,DOM.png,https://github.com/dalezak/CountryMapImages/blob/master/DOM.png?raw=true
Algeria,DZA,DZA.png,https://github.com/dalezak/CountryMapImages/blob/master/DZA.png?raw=true
Ecuador,ECU,ECU.png,https://github.com/dalezak/CountryMapImages/blob/master/ECU.png?raw=true
Egypt,EGY,EGY.png,https://github.com/dalezak/CountryMapImages/blob/master/EGY.png?raw=true
Eritrea,ERI,ERI.png,https://github.com/dalezak/CountryMapImages/blob/master/ERI.png?raw=true
Western Sahara,ESH,ESH.png,https://github.com/dalezak/CountryMapImages/blob/master/ESH.png?raw=true
Spain,ESP,ESP.png,https://github.com/dalezak/CountryMapImages/blob/master/ESP.png?raw=true
Estonia,EST,EST.png,https://github.com/dalezak/CountryMapImages/blob/master/EST.png?raw=true
Ethiopia,ETH,ETH.png,https://github.com/dalezak/CountryMapImages/blob/master/ETH.png?raw=true
Finland,FIN,FIN.png,https://github.com/dalezak/CountryMapImages/blob/master/FIN.png?raw=true
Fiji,FJI,FJI.png,https://github.com/dalezak/CountryMapImages/blob/master/FJI.png?raw=true
Falkland Islands (Malvinas),FLK,FLK.png,https://github.com/dalezak/CountryMapImages/blob/master/FLK.png?raw=true
France,FRA,FRA.png,https://github.com/dalezak/CountryMapImages/blob/master/FRA.png?raw=true
Faroe Islands,FRO,FRO.png,https://github.com/dalezak/CountryMapImages/blob/master/FRO.png?raw=true
Micronesia (Federated States of),FSM,FSM.png,https://github.com/dalezak/CountryMapImages/blob/master/FSM.png?raw=true
Gabon,GAB,GAB.png,https://github.com/dalezak/CountryMapImages/blob/master/GAB.png?raw=true
United Kingdom of Great Britain and Northern Ireland,GBR,GBR.png,https://github.com/dalezak/CountryMapImages/blob/master/GBR.png?raw=true
Georgia,GEO,GEO.png,https://github.com/dalezak/CountryMapImages/blob/master/GEO.png?raw=true
Guernsey,GGY,GGY.png,https://github.com/dalezak/CountryMapImages/blob/master/GGY.png?raw=true
Ghana,GHA,GHA.png,https://github.com/dalezak/CountryMapImages/blob/master/GHA.png?raw=true
Gibraltar,GIB,GIB.png,https://github.com/dalezak/CountryMapImages/blob/master/GIB.png?raw=true
Guinea,GIN,GIN.png,https://github.com/dalezak/CountryMapImages/blob/master/GIN.png?raw=true
Guadeloupe,GLP,GLP.png,https://github.com/dalezak/CountryMapImages/blob/master/GLP.png?raw=true
Gambia,GMB,GMB.png,https://github.com/dalezak/CountryMapImages/blob/master/GMB.png?raw=true
Guinea-Bissau,GNB,GNB.png,https://github.com/dalezak/CountryMapImages/blob/master/GNB.png?raw=true
Equatorial Guinea,GNQ,GNQ.png,https://github.com/dalezak/CountryMapImages/blob/master/GNQ.png?raw=true
Greece,GRC,GRC.png,https://github.com/dalezak/CountryMapImages/blob/master/GRC.png?raw=true
Grenada,GRD,GRD.png,https://github.com/dalezak/CountryMapImages/blob/master/GRD.png?raw=true
Greenland,GRL,GRL.png,https://github.com/dalezak/CountryMapImages/blob/master/GRL.png?raw=true
Guatemala,GTM,GTM.png,https://github.com/dalezak/CountryMapImages/blob/master/GTM.png?raw=true
French Guiana,GUF,GUF.png,https://github.com/dalezak/CountryMapImages/blob/master/GUF.png?raw=true
Guam,GUM,GUM.png,https://github.com/dalezak/CountryMapImages/blob/master/GUM.png?raw=true
Guyana,GUY,GUY.png,https://github.com/dalezak/CountryMapImages/blob/master/GUY.png?raw=true
Hong Kong,HKG,HKG.png,https://github.com/dalezak/CountryMapImages/blob/master/HKG.png?raw=true
Heard Island and McDonald Islands,HMD,HMD.png,https://github.com/dalezak/CountryMapImages/blob/master/HMD.png?raw=true
Honduras,HND,HND.png,https://github.com/dalezak/CountryMapImages/blob/master/HND.png?raw=true
Croatia,HRV,HRV.png,https://github.com/dalezak/CountryMapImages/blob/master/HRV.png?raw=true
Haiti,HTI,HTI.png,https://github.com/dalezak/CountryMapImages/blob/master/HTI.png?raw=true
Hungary,HUN,HUN.png,https://github.com/dalezak/CountryMapImages/blob/master/HUN.png?raw=true
Indonesia,IDN,IDN.png,https://github.com/dalezak/CountryMapImages/blob/master/IDN.png?raw=true
Isle of Man,IMN,IMN.png,https://github.com/dalezak/CountryMapImages/blob/master/IMN.png?raw=true
India,IND,IND.png,https://github.com/dalezak/CountryMapImages/blob/master/IND.png?raw=true
British Indian Ocean Territory,IOT,IOT.png,https://github.com/dalezak/CountryMapImages/blob/master/IOT.png?raw=true
Ireland,IRL,IRL.png,https://github.com/dalezak/CountryMapImages/blob/master/IRL.png?raw=true
Iran (Islamic Republic of),IRN,IRN.png,https://github.com/dalezak/CountryMapImages/blob/master/IRN.png?raw=true
Iraq,IRQ,IRQ.png,https://github.com/dalezak/CountryMapImages/blob/master/IRQ.png?raw=true
Iceland,ISL,ISL.png,https://github.com/dalezak/CountryMapImages/blob/master/ISL.png?raw=true
Israel,ISR,ISR.png,https://github.com/dalezak/CountryMapImages/blob/master/ISR.png?raw=true
Italy,ITA,ITA.png,https://github.com/dalezak/CountryMapImages/blob/master/ITA.png?raw=true
Jamaica,JAM,JAM.png,https://github.com/dalezak/CountryMapImages/blob/master/JAM.png?raw=true
Jersey,JEY,JEY.png,https://github.com/dalezak/CountryMapImages/blob/master/JEY.png?raw=true
Jordan,JOR,JOR.png,https://github.com/dalezak/CountryMapImages/blob/master/JOR.png?raw=true
Japan,JPN,JPN.png,https://github.com/dalezak/CountryMapImages/blob/master/JPN.png?raw=true
Kazakhstan,KAZ,KAZ.png,https://github.com/dalezak/CountryMapImages/blob/master/KAZ.png?raw=true
Kenya,KEN,KEN.png,https://github.com/dalezak/CountryMapImages/blob/master/KEN.png?raw=true
Kyrgyzstan,KGZ,KGZ.png,https://github.com/dalezak/CountryMapImages/blob/master/KGZ.png?raw=true
Cambodia,KHM,KHM.png,https://github.com/dalezak/CountryMapImages/blob/master/KHM.png?raw=true
Kiribati,KIR,KIR.png,https://github.com/dalezak/CountryMapImages/blob/master/KIR.png?raw=true
Saint Kitts and Nevis,KNA,KNA.png,https://github.com/dalezak/CountryMapImages/blob/master/KNA.png?raw=true
Korea (Republic of),KOR,KOR.png,https://github.com/dalezak/CountryMapImages/blob/master/KOR.png?raw=true
Kuwait,KWT,KWT.png,https://github.com/dalezak/CountryMapImages/blob/master/KWT.png?raw=true
Lao People's Democratic Republic,LAO,LAO.png,https://github.com/dalezak/CountryMapImages/blob/master/LAO.png?raw=true
Lebanon,LBN,LBN.png,https://github.com/dalezak/CountryMapImages/blob/master/LBN.png?raw=true
Liberia,LBR,LBR.png,https://github.com/dalezak/CountryMapImages/blob/master/LBR.png?raw=true
Libya,LBY,LBY.png,https://github.com/dalezak/CountryMapImages/blob/master/LBY.png?raw=true
Saint Lucia,LCA,LCA.png,https://github.com/dalezak/CountryMapImages/blob/master/LCA.png?raw=true
Liechtenstein,LIE,LIE.png,https://github.com/dalezak/CountryMapImages/blob/master/LIE.png?raw=true
Sri Lanka,LKA,LKA.png,https://github.com/dalezak/CountryMapImages/blob/master/LKA.png?raw=true
Lesotho,LSO,LSO.png,https://github.com/dalezak/CountryMapImages/blob/master/LSO.png?raw=true
Lithuania,LTU,LTU.png,https://github.com/dalezak/CountryMapImages/blob/master/LTU.png?raw=true
Luxembourg,LUX,LUX.png,https://github.com/dalezak/CountryMapImages/blob/master/LUX.png?raw=true
Latvia,LVA,LVA.png,https://github.com/dalezak/CountryMapImages/blob/master/LVA.png?raw=true
Macao,MAC,MAC.png,https://github.com/dalezak/CountryMapImages/blob/master/MAC.png?raw=true
Saint Martin (French part),MAF,MAF.png,https://github.com/dalezak/CountryMapImages/blob/master/MAF.png?raw=true
Morocco,MAR,MAR.png,https://github.com/dalezak/CountryMapImages/blob/master/MAR.png?raw=true
Monaco,MCO,MCO.png,https://github.com/dalezak/CountryMapImages/blob/master/MCO.png?raw=true
Moldova (Republic of),MDA,MDA.png,https://github.com/dalezak/CountryMapImages/blob/master/MDA.png?raw=true
Madagascar,MDG,MDG.png,https://github.com/dalezak/CountryMapImages/blob/master/MDG.png?raw=true
Maldives,MDV,MDV.png,https://github.com/dalezak/CountryMapImages/blob/master/MDV.png?raw=true
Mexico,MEX,MEX.png,https://github.com/dalezak/CountryMapImages/blob/master/MEX.png?raw=true
Marshall Islands,MHL,MHL.png,https://github.com/dalezak/CountryMapImages/blob/master/MHL.png?raw=true
Macedonia (the former Yugoslav Republic of),MKD,MKD.png,https://github.com/dalezak/CountryMapImages/blob/master/MKD.png?raw=true
Mali,MLI,MLI.png,https://github.com/dalezak/CountryMapImages/blob/master/MLI.png?raw=true
Malta,MLT,MLT.png,https://github.com/dalezak/CountryMapImages/blob/master/MLT.png?raw=true
Myanmar,MMR,MMR.png,https://github.com/dalezak/CountryMapImages/blob/master/MMR.png?raw=true
Montenegro,MNE,MNE.png,https://github.com/dalezak/CountryMapImages/blob/master/MNE.png?raw=true
Mongolia,MNG,MNG.png,https://github.com/dalezak/CountryMapImages/blob/master/MNG.png?raw=true
Northern Mariana Islands,MNP,MNP.png,https://github.com/dalezak/CountryMapImages/blob/master/MNP.png?raw=true
Mozambique,MOZ,MOZ.png,https://github.com/dalezak/CountryMapImages/blob/master/MOZ.png?raw=true
Mauritania,MRT,MRT.png,https://github.com/dalezak/CountryMapImages/blob/master/MRT.png?raw=true
Montserrat,MSR,MSR.png,https://github.com/dalezak/CountryMapImages/blob/master/MSR.png?raw=true
Martinique,MTQ,MTQ.png,https://github.com/dalezak/CountryMapImages/blob/master/MTQ.png?raw=true
Mauritius,MUS,MUS.png,https://github.com/dalezak/CountryMapImages/blob/master/MUS.png?raw=true
Malawi,MWI,MWI.png,https://github.com/dalezak/CountryMapImages/blob/master/MWI.png?raw=true
Malaysia,MYS,MYS.png,https://github.com/dalezak/CountryMapImages/blob/master/MYS.png?raw=true
Mayotte,MYT,MYT.png,https://github.com/dalezak/CountryMapImages/blob/master/MYT.png?raw=true
Namibia,NAM,NAM.png,https://github.com/dalezak/CountryMapImages/blob/master/NAM.png?raw=true
New Caledonia,NCL,NCL.png,https://github.com/dalezak/CountryMapImages/blob/master/NCL.png?raw=true
Niger,NER,NER.png,https://github.com/dalezak/CountryMapImages/blob/master/NER.png?raw=true
Norfolk Island,NFK,NFK.png,https://github.com/dalezak/CountryMapImages/blob/master/NFK.png?raw=true
Nigeria,NGA,NGA.png,https://github.com/dalezak/CountryMapImages/blob/master/NGA.png?raw=true
Nicaragua,NIC,NIC.png,https://github.com/dalezak/CountryMapImages/blob/master/NIC.png?raw=true
Niue,NIU,NIU.png,https://github.com/dalezak/CountryMapImages/blob/master/NIU.png?raw=true
Netherlands,NLD,NLD.png,https://github.com/dalezak/CountryMapImages/blob/master/NLD.png?raw=true
